Dracula’s Guest | Bram Stoker
A Daughter of the Snows | Jack London
The Cruise of the Snark | Jack London
The Cruise of the Dazzler | Jack London
Children of the Frost | Jack London
The Call Of The Wild | Jack London
Burning Daylight | Jack London
Before Adam | Jack London
Adventure | Jack London
The Abysmal Brute | Jack London
The Game | Jack London
Jerry Of The Islands | Jack London
Michael, Brother of Jerry | Jack London
The Red One | Jack London
The Scarlet Plague | Jack London
The Sea Wolf | Jack London
Theft: A Play In Four Acts | Jack London
White Fang | Jack London
The Journal To Stella | Jack London
A Tale Of A Tub | Jonathan Swift
Following the Equator: A Journey Around the World | Mark Twain
The Gilded Age: A Tale of Today | Mark Twain
A Tramp Abroad | Mark Twain
The Tragedy of Pudd’nhead Wilson | Mark Twain
A Dog’s Tale | Mark Twain
What Is Man? and Other Essays | Mark Twain
Eve’s Diary | Mark Twain
Roughing It | Mark Twain
Life on the Mississippi | Mark Twain
The Mysterious Stranger, and Other Stories | Mark Twain
A Connecticut Yankee in King Arthur’s Court | Mark Twain
The Innocents Abroad | Mark Twain
The Prince And The Pauper | Mark Twain
The Devil’s Dictionary | Ambrose Bierce
The Elements of Style | William Strunk
The Grey Fairy Book | Andrew Lang
The Green Fairy Book | Andrew Lang
The Olive Fairy Book | Andrew Lang
The Orange Fairy Book | Andrew Lang
The Pink Fairy Book | Andrew Lang
The Red Fairy Book | Andrew Lang
The Violet Fairy Book | Andrew Lang
The Yellow Fairy Book | Andrew Lang
The Psychology of Sleep | Bolton Hall
The Arabian Nights Entertainment | Andrew Lang
The Piazza Tales | Herman Melville
Black Beauty | Anna Sewell
Bones In London | Edgar Wallace
The Man Who Knew | Edgar Wallace
The Secret House | Edgar Wallace
Jack O’ Judgment | Edgar Wallace
The Green Rust | Edgar Wallace
Bosambo of the River | Edgar Wallace
The Clue of the Twisted Candle | Edgar Wallace
The Duke in the Suburbs | Edgar Wallace
The Daffodil Mystery | Edgar Wallace
Little Men | Louisa May Alcott
Androcles and the Lion | Bernard Shaw
Arms And The Man | Bernard Shaw
Candida | Bernard Shaw
Japanese Fairy Tales | Yei Theodora Ozaki
The Princess And The Goblin | George MacDonald
The Blue Fairy Book | Andrew Lang
The Adventures of Pinocchio | Carlo Collodi
The Story Of The Three Little Pigs | L. Leslie Brooke
The Angel Of Terror | Edgar Wallace
A Woman of No Importance | Oscar Wilde
Intentions | Oscar Wilde
An Ideal Husband | Oscar Wilde
A House of Pomegranates | Oscar Wilde
The Happy Prince And Other Tales | Oscar Wilde
The Man In The Brown Suit | Agatha Christie
Murder On The Links | Agatha Christie
Jo’s Boys | Louisa May Alcott
Twas the Night Before Christmas | Clement Clarke Moore
The Mysterious Affair at Styles | Agatha Christie
Poirot Investigates | Agatha Christie
The Secret Adversary | Agatha Christie
The Blazing World | Margaret Cavendish
Alice’s Adventures Underground | Lewis Carroll
The Tempest | William Shakespeare
Much Ado About Nothing | William Shakespeare
As You Like It | William Shakespeare
The Taming Of The Shrew | William Shakespeare
A Journal of the Plague Year | Daniel Defoe
Kim | Rudyard Kipling
A Little Princess | Frances Hodgson Burnett
The Tale of Peter Rabbit | Beatrix Potter
The Railway Children | E. Nesbit
The Secret Garden | Frances Hodgson Burnett
Heidi | Johanna Spyri
The Iliad | Homer
Don Quixote | Miguel de Cervantes Saavedra
Antony and Cleopatra | William Shakespeare
Hamlet | William Shakespeare
Julius Caesar | William Shakespeare
King Lear | William Shakespeare
Merchant of Venice | William Shakespeare
Romeo and Juliet | William Shakespeare
Macbeth | William Shakespeare
The Masque of the Red Death | Edgar Allan Poe
The Yellow Wallpaper | Charlotte Perkins Gilman
Walden, and On The Duty Of Civil Disobedience | Henry David Thoreau
Narrative of the Life of Frederick Douglass, an American Slave | Frederick Douglass
The Strange Case of Dr. Jekyll and Mr. Hyde | Robert Louis Stevenson
The Importance of Being Earnest | Oscar Wilde
The Souls of Black Folk | W. E. B. Du Bois
A Doll’s House | Henrik Ibsen
Beowulf | John Lesslie Hall
The Awakening | Kate Chopin
A Modest Proposal | Jonathon Swift
The Republic | Plato
The Philippine Islands, 1493-1803 Volume 01 of 55 | Bourne, Blair & Robertson
Leviathan | Thomas Hobbes
A History of the Philippines | David P. Barrows
